Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 786.3453054428101
Inferencing time --- 789.3993694782257
Inferencing time --- 789.5672385692596
Inferencing time --- 789.706793308258
Inferencing time --- 795.9401459693909
Inferencing time --- 796.0968716144562
Inferencing time --- 796.2466304302216
Inferencing time --- 796.3755767345428
Inferencing time --- 799.122091293335
Inferencing time --- 799.2811481952667
Inferencing time --- 799.4160687923431
Inferencing time --- 805.7890424728394
Inferencing time --- 805.9513103961945
Inferencing time --- 806.1035351753235
Inferencing time --- 806.2358658313751
Inferencing time --- 809.7545187473297
Inferencing time --- 809.9138164520264
Inferencing time --- 810.0466623306274
Inferencing time --- 815.9952087402344
Inferencing time --- 816.3039617538452
Inferencing time --- 816.4414641857147
Inferencing time --- 816.5801253318787
Inferencing time --- 819.8900623321533
Inferencing time --- 820.0579969882965
Inferencing time --- 820.209983587265
Inferencing time --- 826.2861478328705
Inferencing time --- 826.5127608776093
Inferencing time --- 826.648966550827
Inferencing time --- 826.7818202972412
Inferencing time --- 830.0122339725494
Inferencing time --- 830.1764299869537
Inferencing time --- 830.3065490722656
Inferencing time --- 836.6725559234619
Inferencing time --- 836.9010784626007
Inferencing time --- 837.0368955135345
Inferencing time --- 837.165506362915
Inferencing time --- 840.229335308075
Inferencing time --- 840.3917212486267
Inferencing time --- 840.5269846916199
Inferencing time --- 846.6505472660065
Inferencing time --- 847.6016292572021
Inferencing time --- 847.7301619052887
Inferencing time --- 847.8621520996094
Inferencing time --- 850.6053810119629
Inferencing time --- 850.7730050086975
Inferencing time --- 850.9198474884033
Inferencing time --- 856.2768590450287
Inferencing time --- 857.577526807785
Inferencing time --- 857.7069420814514
Inferencing time --- 857.8393595218658
Inferencing time --- 861.9395115375519
Inferencing time --- 862.0995409488678
Inferencing time --- 862.2303676605225
Inferencing time --- 866.8508009910583
Inferencing time --- 868.1952512264252
Inferencing time --- 868.336633682251
Inferencing time --- 868.4689137935638
Inferencing time --- 872.2591705322266
Inferencing time --- 872.4268684387207
Inferencing time --- 872.5768384933472
Inferencing time --- 876.5110607147217
Inferencing time --- 878.5431513786316
Inferencing time --- 878.7107975482941
Inferencing time --- 878.8458907604218
Inferencing time --- 882.162654876709
Inferencing time --- 882.3331851959229
Inferencing time --- 882.469498872757
Inferencing time --- 886.436527967453
Inferencing time --- 888.7103245258331
Inferencing time --- 888.8781390190125
Inferencing time --- 889.03009724617
Inferencing time --- 892.1573433876038
Inferencing time --- 892.3268208503723
Inferencing time --- 892.4716198444366
Inferencing time --- 895.8407611846924
Inferencing time --- 898.5785245895386
Inferencing time --- 898.7463579177856
Inferencing time --- 898.8941788673401
Inferencing time --- 902.5675663948059
Inferencing time --- 902.7352776527405
Inferencing time --- 902.8890721797943
Inferencing time --- 905.6440556049347
Inferencing time --- 908.0162017345428
Inferencing time --- 908.1838409900665
Inferencing time --- 908.3294656276703
Inferencing time --- 912.4267218112946
Inferencing time --- 912.594452381134
Inferencing time --- 912.7407319545746
Inferencing time --- 914.7838845252991
Inferencing time --- 917.9937262535095
Inferencing time --- 918.1511447429657
Inferencing time --- 918.3022418022156
Inferencing time --- 924.0600986480713
Inferencing time --- 924.2287893295288
Inferencing time --- 924.3790531158447
Inferencing time --- 925.0084798336029
Inferencing time --- 928.5561056137085
Inferencing time --- 928.7189905643463
Inferencing time --- 928.8522355556488
Inferencing time --- 935.003888130188
Inferencing time --- 935.1632676124573
Inferencing time --- 935.2981879711151
Inferencing time --- 935.4291317462921
Inferencing time --- 938.8928978443146
Inferencing time --- 939.06063580513
Inferencing time --- 939.2168936729431
Inferencing time --- 947.9549868106842
Inferencing time --- 948.1232631206512
Inferencing time --- 948.271518945694
Inferencing time --- 948.4006259441376
Inferencing time --- 948.8190865516663
Inferencing time --- 948.9461147785187
Inferencing time --- 949.0780792236328
Inferencing time --- 958.4091036319733
Inferencing time --- 958.576845407486
Inferencing time --- 958.7254912853241
Inferencing time --- 958.8503348827362
Inferencing time --- 959.181717634201
Inferencing time --- 959.3093609809875
Inferencing time --- 959.4418597221375
Inferencing time --- 969.170981168747
Inferencing time --- 969.3258872032166
Inferencing time --- 969.4730908870697
Inferencing time --- 969.6045138835907
Inferencing time --- 969.7334518432617
Inferencing time --- 969.8641436100006
Inferencing time --- 969.9959647655487
Inferencing time --- 979.4047014713287
Inferencing time --- 979.5590486526489
Inferencing time --- 979.7027323246002
