Loading val dataloader successfully! -- 11.188063621520996
Loading Train dataloader successfully! -- 45.45161485671997
Starting training process...
Epoch: [0][345/510]	Time 0.644s (0.991s)	Speed 49.7 samples/s	Data 0.384s (0.732s)	Loss 287.18842 (375.17129)	Accuracy 0.656 (0.564)	 Cls Loss: 0.65447	 loss_cstency: 109.81151	 loss_hsic: 0.00231
Epoch: [0][350/510]	Time 0.559s (0.992s)	Speed 57.3 samples/s	Data 0.313s (0.733s)	Loss 308.83627 (374.12398)	Accuracy 0.625 (0.566)	 Cls Loss: 0.67668	 loss_cstency: 118.72995	 loss_hsic: 0.00223
Epoch: [0][355/510]	Time 0.555s (0.991s)	Speed 57.6 samples/s	Data 0.311s (0.732s)	Loss 295.50864 (373.04721)	Accuracy 0.625 (0.566)	 Cls Loss: 0.64544	 loss_cstency: 121.32796	 loss_hsic: 0.00223
Epoch: [0][360/510]	Time 1.220s (0.988s)	Speed 26.2 samples/s	Data 0.976s (0.729s)	Loss 285.94391 (372.06404)	Accuracy 0.500 (0.568)	 Cls Loss: 0.69170	 loss_cstency: 110.75610	 loss_hsic: 0.00208
Epoch: [0][365/510]	Time 0.545s (0.982s)	Speed 58.7 samples/s	Data 0.301s (0.723s)	Loss 304.79691 (371.06439)	Accuracy 0.594 (0.569)	 Cls Loss: 0.66902	 loss_cstency: 123.39306	 loss_hsic: 0.00248
Epoch: [0][370/510]	Time 0.994s (0.982s)	Speed 32.2 samples/s	Data 0.736s (0.723s)	Loss 296.22220 (370.04395)	Accuracy 0.594 (0.570)	 Cls Loss: 0.67605	 loss_cstency: 106.91302	 loss_hsic: 0.00242
Epoch: [0][375/510]	Time 0.564s (0.982s)	Speed 56.8 samples/s	Data 0.319s (0.724s)	Loss 287.00769 (368.99057)	Accuracy 0.719 (0.572)	 Cls Loss: 0.65125	 loss_cstency: 108.21434	 loss_hsic: 0.00261
Epoch: [0][380/510]	Time 0.561s (0.977s)	Speed 57.1 samples/s	Data 0.316s (0.719s)	Loss 288.26019 (367.97467)	Accuracy 0.594 (0.573)	 Cls Loss: 0.66549	 loss_cstency: 107.21203	 loss_hsic: 0.00274
Epoch: [0][385/510]	Time 0.563s (0.976s)	Speed 56.9 samples/s	Data 0.316s (0.718s)	Loss 273.19363 (367.05754)	Accuracy 0.594 (0.574)	 Cls Loss: 0.65309	 loss_cstency: 100.82711	 loss_hsic: 0.00262
Epoch: [0][390/510]	Time 0.576s (0.978s)	Speed 55.5 samples/s	Data 0.333s (0.720s)	Loss 282.42722 (366.07976)	Accuracy 0.656 (0.575)	 Cls Loss: 0.67407	 loss_cstency: 101.33097	 loss_hsic: 0.00247
Epoch: [0][395/510]	Time 2.258s (0.978s)	Speed 14.2 samples/s	Data 1.999s (0.720s)	Loss 281.53619 (364.95301)	Accuracy 0.719 (0.576)	 Cls Loss: 0.64501	 loss_cstency: 99.33255	 loss_hsic: 0.00238
Epoch: [0][400/510]	Time 1.653s (0.976s)	Speed 19.4 samples/s	Data 1.386s (0.718s)	Loss 291.17764 (364.14282)	Accuracy 0.562 (0.576)	 Cls Loss: 0.66016	 loss_cstency: 98.97866	 loss_hsic: 0.00209
Epoch: [0][405/510]	Time 0.575s (0.974s)	Speed 55.7 samples/s	Data 0.331s (0.716s)	Loss 315.27661 (363.32534)	Accuracy 0.625 (0.577)	 Cls Loss: 0.64731	 loss_cstency: 103.93428	 loss_hsic: 0.00231
Epoch: [0][410/510]	Time 0.560s (0.974s)	Speed 57.2 samples/s	Data 0.316s (0.716s)	Loss 281.80573 (362.47496)	Accuracy 0.688 (0.577)	 Cls Loss: 0.64678	 loss_cstency: 102.51290	 loss_hsic: 0.00215
Epoch: [0][415/510]	Time 0.665s (0.970s)	Speed 48.2 samples/s	Data 0.407s (0.712s)	Loss 282.03818 (361.56848)	Accuracy 0.656 (0.579)	 Cls Loss: 0.64789	 loss_cstency: 100.56607	 loss_hsic: 0.00242
Epoch: [0][420/510]	Time 0.829s (0.970s)	Speed 38.6 samples/s	Data 0.574s (0.712s)	Loss 290.99106 (360.71887)	Accuracy 0.719 (0.579)	 Cls Loss: 0.64565	 loss_cstency: 96.14208	 loss_hsic: 0.00245
Epoch: [0][425/510]	Time 0.567s (0.970s)	Speed 56.5 samples/s	Data 0.321s (0.713s)	Loss 271.75607 (359.81566)	Accuracy 0.531 (0.580)	 Cls Loss: 0.65616	 loss_cstency: 97.01078	 loss_hsic: 0.00231
Epoch: [0][430/510]	Time 1.642s (0.969s)	Speed 19.5 samples/s	Data 1.391s (0.711s)	Loss 318.49326 (359.13282)	Accuracy 0.625 (0.581)	 Cls Loss: 0.66937	 loss_cstency: 101.05325	 loss_hsic: 0.00223
Epoch: [0][435/510]	Time 0.605s (0.969s)	Speed 52.9 samples/s	Data 0.347s (0.711s)	Loss 294.87833 (358.29769)	Accuracy 0.688 (0.581)	 Cls Loss: 0.64373	 loss_cstency: 99.32466	 loss_hsic: 0.00217
Epoch: [0][440/510]	Time 0.541s (0.968s)	Speed 59.1 samples/s	Data 0.296s (0.710s)	Loss 280.07574 (357.54509)	Accuracy 0.656 (0.583)	 Cls Loss: 0.65455	 loss_cstency: 95.96332	 loss_hsic: 0.00220
